,Metric,PRST,SPY
210,03/04/2021,0.91,-1.24
211,03/04/2022,0.0,-0.81
212,03/04/2024,16.67,-0.11
213,03/05/2020,,-3.32
214,03/05/2021,-0.4,1.84
215,03/05/2024,-28.57,-1.0
216,03/06/2020,,-1.65
217,03/06/2023,-4.17,0.07
218,03/06/2024,26.4,0.51
219,03/07/2022,0.0,-2.95
220,03/07/2023,-1.74,-1.53
221,03/07/2024,-9.81,0.99
222,03/08/2021,-0.55,-0.5
223,03/08/2022,0.0,-0.76
224,03/08/2023,6.64,0.16
225,03/08/2024,-8.77,-0.6
226,03/09/2020,,-7.81
227,03/09/2021,0.35,1.43
228,03/09/2022,0.0,2.68
229,03/09/2023,-10.79,-1.84
230,03/10/2020,,5.17
231,03/10/2021,-0.5,0.62
232,03/10/2022,0.1,-0.45
233,03/10/2023,8.37,-1.44
234,03/11/2020,,-4.87
235,03/11/2021,1.11,1.01
236,03/11/2022,0.0,-1.27
237,03/11/2024,-0.38,-0.09
238,03/12/2020,,-9.57
239,03/12/2021,-0.4,0.13
240,03/12/2024,-24.32,1.08
241,03/13/2020,,8.55
242,03/13/2023,-6.01,-0.14
243,03/13/2024,14.8,-0.16
244,03/14/2022,0.0,-0.73
245,03/14/2023,-0.46,1.65
246,03/14/2024,34.22,-0.2
247,03/15/2021,-0.8,0.6
248,03/15/2022,0.0,2.2
249,03/15/2023,3.21,-0.63
250,03/15/2024,-7.28,-0.99
251,03/16/2020,,-10.94
252,03/16/2021,-0.61,-0.13
253,03/16/2022,0.1,2.22
254,03/16/2023,1.33,1.75
255,03/17/2020,,5.4
256,03/17/2021,0.82,0.34
257,03/17/2022,0.1,1.25
258,03/17/2023,-1.32,-1.55
259,03/18/2020,,-5.06
260,03/18/2021,-0.61,-1.45
261,03/18/2022,-0.02,0.78
262,03/18/2024,-5.36,0.59
263,03/19/2020,,0.21
264,03/19/2021,0.0,-0.51
265,03/19/2024,-12.45,0.56
266,03/20/2020,,-4.87
267,03/20/2023,-7.56,0.96
268,03/20/2024,12.07,0.92
269,03/21/2022,-0.08,-0.03
270,03/21/2023,4.81,1.31
271,03/21/2024,-14.23,0.33
272,03/22/2021,0.2,0.8
273,03/22/2022,0.0,1.17
274,03/22/2023,-7.57,-1.7
275,03/22/2024,1.79,-0.19
276,03/23/2020,,-2.56
277,03/23/2021,-0.41,-0.79
278,03/23/2022,0.1,-1.29
279,03/23/2023,9.68,0.27
280,03/24/2020,,9.06
281,03/24/2021,-0.1,-0.51
282,03/24/2022,-0.05,1.51
283,03/24/2023,-2.71,0.66
284,03/25/2020,,1.5
285,03/25/2021,0.31,0.56
286,03/25/2022,0.04,0.49
287,03/25/2024,-3.08,-0.28
288,03/26/2020,,5.84
289,03/26/2021,-0.1,1.61
290,03/26/2024,-4.55,-0.18
291,03/27/2020,,-2.98
292,03/27/2023,-25.12,0.19
293,03/27/2024,-8.57,0.84
294,03/28/2022,-0.09,0.71
295,03/28/2023,-8.7,-0.22
296,03/28/2024,-9.38,-0.02
297,03/29/2021,0.71,-0.05
298,03/29/2022,0.05,1.24
299,03/29/2023,-2.72,1.45
300,03/30/2020,,3.25
301,03/30/2021,-0.2,-0.27
302,03/30/2022,0.05,-0.62
303,03/30/2023,3.5,0.59
304,03/31/2020,,-1.49
305,03/31/2021,-0.81,0.41
306,03/31/2022,-0.03,-1.54
307,03/31/2023,6.76,1.41
308,04/01/2020,,-4.5
309,04/01/2021,1.23,1.08
310,04/01/2022,-0.04,0.28
311,04/01/2024,14.94,-0.17
312,04/02/2020,,2.31
313,04/02/2024,-3.0,-0.64
314,04/03/2020,,-1.45
315,04/03/2023,13.29,0.38
316,04/03/2024,-0.52,0.11
317,04/04/2022,0.12,0.86
318,04/04/2023,3.91,-0.55
319,04/04/2024,-5.7,-1.22
320,04/05/2021,-0.1,1.44
321,04/05/2022,0.25,-1.26
322,04/05/2023,-12.9,-0.26
323,04/05/2024,-8.24,1.04
324,04/06/2020,,6.72
325,04/06/2021,0.0,-0.06
326,04/06/2022,-0.1,-1.0
327,04/06/2023,7.41,0.39
328,04/07/2020,,0.1
329,04/07/2021,0.2,0.12
330,04/07/2022,0.09,0.5
331,04/08/2020,,3.36
332,04/08/2021,0.71,0.47
333,04/08/2022,-0.09,-0.27
334,04/08/2024,4.19,0.06
335,04/09/2020,,1.52
336,04/09/2021,0.0,0.73
337,04/09/2024,3.45,0.12
338,04/10/2023,-11.49,0.1
339,04/10/2024,-2.78,-1.0
340,04/11/2022,0.0,-1.71
341,04/11/2023,-9.09,0.03
342,04/11/2024,4.57,0.75
343,04/12/2021,0.1,0.04
344,04/12/2022,0.0,-0.37
345,04/12/2023,-3.93,-0.41
346,04/12/2024,7.65,-1.38
347,04/13/2020,,-0.91
348,04/13/2021,0.0,0.3
349,04/13/2022,0.39,1.15
350,04/13/2023,7.06,1.33
351,04/14/2020,,2.95
352,04/14/2021,-0.2,-0.34
353,04/14/2022,-0.29,-1.25
354,04/14/2023,-3.47,-0.24
355,04/15/2020,,-2.12
356,04/15/2021,-0.1,1.07
357,04/15/2024,-10.15,-1.25
358,04/16/2020,,0.48
359,04/16/2021,0.3,0.33
360,04/16/2024,-2.26,-0.18
361,04/17/2020,,2.7
362,04/17/2023,160.43,0.36
363,04/17/2024,-1.73,-0.59
364,04/18/2022,0.1,0.04
365,04/18/2023,-30.39,0.07
366,04/18/2024,0.59,-0.21
367,04/19/2021,0.0,-0.49
368,04/19/2022,-0.02,1.61
369,04/19/2023,-4.76,-0.02
370,04/19/2024,-1.75,-0.87
371,04/20/2020,,-1.76
372,04/20/2021,0.0,-0.73
373,04/20/2022,0.02,-0.07
374,04/20/2023,10.42,-0.55
375,04/21/2020,,-3.04
376,04/21/2021,0.0,0.95
377,04/21/2022,-0.1,-1.5
378,04/21/2023,36.23,0.08
379,04/22/2020,,2.22
380,04/22/2021,-0.1,-0.91
381,04/22/2022,-0.1,-2.74
382,04/22/2024,5.36,0.92
383,04/23/2020,,-0.01
384,04/23/2021,0.1,1.08
385,04/23/2024,-3.95,1.19
386,04/24/2020,,1.39
387,04/24/2023,-17.73,0.1
388,04/24/2024,-0.59,-0.05
389,04/25/2022,0.0,0.58
390,04/25/2023,4.71,-1.59
391,04/25/2024,-1.18,-0.38
392,04/26/2021,-0.18,0.21
393,04/26/2022,0.1,-2.9
394,04/26/2023,19.61,-0.42
395,04/26/2024,1.2,0.95
396,04/27/2020,,1.44
397,04/27/2021,-0.32,-0.02
398,04/27/2022,0.05,0.28
399,04/27/2023,-2.15,1.99
400,04/28/2020,,-0.46
401,04/28/2021,0.5,-0.03
402,04/28/2022,0.0,2.53
403,04/28/2023,-8.52,0.85
404,04/29/2020,,2.62
405,04/29/2021,-0.1,0.64
406,04/29/2022,-0.05,-3.7
407,04/29/2024,0.0,0.35
408,04/30/2020,,-0.93
409,04/30/2021,0.1,-0.66
410,04/30/2024,0.0,-1.58
411,05/01/2020,,-2.65
412,05/01/2023,-8.11,-0.1
413,05/01/2024,-0.59,-0.32
414,05/02/2022,0.1,0.6
415,05/02/2023,-10.46,-1.12
416,05/02/2024,0.6,0.94
417,05/03/2021,-0.1,0.22
418,05/03/2022,0.0,0.46
419,05/03/2023,1.82,-0.69
420,05/03/2024,0.59,1.24
421,05/04/2020,,0.28
422,05/04/2021,0.0,-0.62
423,05/04/2022,0.0,3.05
424,05/04/2023,12.54,-0.71
425,05/05/2020,,0.92
426,05/05/2021,-0.45,0.03
427,05/05/2022,-0.1,-3.55
428,05/05/2023,-2.87,1.85
429,05/06/2020,,-0.68
430,05/06/2021,0.0,0.8
431,05/06/2022,0.0,-0.6
432,05/06/2024,-0.59,1.03
433,05/07/2020,,1.21
434,05/07/2021,0.0,0.73
435,05/07/2024,-0.59,0.11
436,05/08/2020,,1.65
437,05/08/2023,12.13,0.03
438,05/08/2024,4.17,0.01
439,05/09/2022,0.1,-3.2
440,05/09/2023,-3.22,-0.44
441,05/09/2024,-3.43,0.58
442,05/10/2021,-0.45,-0.99
443,05/10/2022,-0.05,0.23
444,05/10/2023,6.34,0.47
445,05/10/2024,-1.78,0.13
446,05/11/2020,,0.02
447,05/11/2021,-0.91,-0.89
448,05/11/2022,0.0,-1.59
449,05/11/2023,-3.69,-0.17
450,05/12/2020,,-1.99
451,05/12/2021,0.66,-2.12
452,05/12/2022,0.05,-0.1
453,05/12/2023,-3.83,-0.13
454,05/13/2020,,-1.77
455,05/13/2021,-0.25,1.2
456,05/13/2022,0.0,2.39
457,05/13/2024,0.0,0.01
458,05/14/2020,,1.2
459,05/14/2021,0.3,1.54
460,05/14/2024,-4.82,0.46
461,05/15/2020,,0.46
462,05/15/2023,-3.99,0.35
463,05/15/2024,0.0,1.0
464,05/16/2022,0.1,-0.41
465,05/16/2023,-13.42,-0.67
466,05/17/2019,,-0.65
467,05/17/2021,0.1,-0.25
468,05/17/2022,-0.05,2.06
469,05/17/2023,6.27,1.21
470,05/18/2020,,3.05
471,05/18/2021,0.0,-0.86
472,05/18/2022,-0.03,-4.03
473,05/18/2023,4.51,0.96
474,05/19/2020,,-1.03
475,05/19/2021,0.0,-0.26
476,05/19/2022,-0.02,-0.61
477,05/19/2023,-11.63,-0.15
478,05/20/2019,,-0.66
479,05/20/2020,,1.7
480,05/20/2021,0.1,1.08
481,05/20/2022,0.1,0.04
482,05/21/2019,,0.9
483,05/21/2020,,-0.69
484,05/21/2021,-0.2,-0.08
485,05/22/2019,,-0.31
486,05/22/2020,,0.19
487,05/22/2023,-6.02,0.04
488,05/23/2019,,-1.22
489,05/23/2022,0.05,1.87
490,05/23/2023,-12.4,-1.12
491,05/24/2019,,0.23
492,05/24/2021,0.0,1.02
493,05/24/2022,-0.05,-0.76
494,05/24/2023,3.65,-0.72
495,05/25/2021,-0.2,-0.22
496,05/25/2022,0.1,0.88
497,05/25/2023,-3.52,0.87
498,05/26/2020,,1.23
499,05/26/2021,0.51,0.2
500,05/26/2022,0.0,2.0
501,05/26/2023,63.93,1.3
502,05/27/2020,,1.49
503,05/27/2021,0.3,0.05
504,05/27/2022,0.0,2.45
505,05/28/2019,,-0.93
506,05/28/2020,,-0.18
507,05/28/2021,-0.1,0.18
508,05/29/2019,,-0.67
509,05/29/2020,,0.45
510,05/30/2019,,0.27
511,05/30/2023,-26.46,0.04
512,05/31/2019,,-1.35
513,05/31/2022,-0.1,-0.56
514,05/31/2023,3.03,-0.55
515,06/01/2020,,0.4
516,06/01/2021,0.1,-0.09
517,06/01/2022,0.15,-0.81
518,06/01/2023,12.87,0.95
519,06/02/2020,,0.83
520,06/02/2021,0.1,0.16
521,06/02/2022,0.05,1.9
522,06/02/2023,-0.98,1.45
523,06/03/2019,,-0.25
524,06/03/2020,,1.33
525,06/03/2021,0.0,-0.37
526,06/03/2022,-0.1,-1.64
527,06/04/2019,,2.17
528,06/04/2020,,-0.26
529,06/04/2021,0.0,0.91
530,06/05/2019,,0.87
531,06/05/2020,,2.56
532,06/05/2023,2.3,-0.19
533,06/06/2019,,0.65
534,06/06/2022,0.1,0.3
535,06/06/2023,12.54,0.22
536,06/07/2019,,1.0
537,06/07/2021,-0.5,-0.1
538,06/07/2022,0.1,0.96
539,06/07/2023,-0.86,-0.35
540,06/08/2020,,1.21
541,06/08/2021,0.81,0.02
542,06/08/2022,-0.1,-1.09
543,06/08/2023,9.51,0.6
544,06/09/2020,,-0.75
545,06/09/2021,0.3,-0.15
546,06/09/2022,0.0,-2.38
547,06/09/2023,-11.84,0.18
548,06/10/2019,,0.46
549,06/10/2020,,-0.56
550,06/10/2021,-0.1,0.46
551,06/10/2022,0.15,-2.9
552,06/11/2019,,-0.02
553,06/11/2020,,-5.76
554,06/11/2021,0.4,0.17
555,06/12/2019,,-0.18
556,06/12/2020,,1.2
557,06/12/2023,1.19,0.91
558,06/13/2019,,0.41
559,06/13/2022,-0.44,-3.8
560,06/13/2023,2.36,0.66
561,06/14/2019,,-0.11
562,06/14/2021,-0.7,0.22
563,06/14/2022,0.0,-0.3
564,06/14/2023,3.75,0.12
565,06/15/2020,,0.93
566,06/15/2021,0.2,-0.18
567,06/15/2022,2.46,1.43
568,06/15/2023,11.11,1.24
569,06/16/2020,,1.92
570,06/16/2021,-0.55,-0.56
571,06/16/2022,0.0,-3.31
572,06/16/2023,-2.0,-0.71
573,06/17/2019,,0.04
574,06/17/2020,,-0.42
575,06/17/2021,0.0,-0.03
576,06/17/2022,-1.63,-0.22
577,06/18/2019,,1.05
578,06/18/2020,,0.04
579,06/18/2021,0.35,-1.67
580,06/19/2019,,0.23
581,06/19/2020,,-1.01
582,06/20/2019,,0.96
583,06/20/2023,16.07,-0.52
584,06/21/2019,,-0.63
585,06/21/2021,0.3,1.43
586,06/21/2022,0.1,2.52
587,06/21/2023,3.3,-0.51
588,06/22/2020,,0.64
589,06/22/2021,-0.4,0.53
590,06/22/2022,-0.39,-0.18
591,06/22/2023,2.13,0.36
592,06/23/2020,,0.46
593,06/23/2021,-0.41,-0.12
594,06/23/2022,-0.29,0.98
595,06/23/2023,-6.25,-0.76
596,06/24/2019,,-0.12
597,06/24/2020,,-2.55
598,06/24/2021,0.21,0.59
599,06/24/2022,-0.69,3.18
600,06/25/2019,,-0.98
601,06/25/2020,,1.07
602,06/25/2021,-0.1,0.36
603,06/26/2019,,-0.1
604,06/26/2020,,-2.38
605,06/26/2023,4.44,-0.41
606,06/27/2019,,0.35
607,06/27/2022,0.0,-0.38
608,06/27/2023,2.13,1.1
609,06/28/2019,,0.51
610,06/28/2021,0.2,0.2
611,06/28/2022,0.0,-2.04
612,06/28/2023,-5.62,0.05
613,06/29/2020,,1.47
614,06/29/2021,0.0,0.05
615,06/29/2022,0.0,-0.08
616,06/29/2023,13.91,0.39
617,06/30/2020,,1.28
618,06/30/2021,-0.2,0.08
619,06/30/2022,0.1,-0.81
620,06/30/2023,1.16,1.18
621,07/01/2019,,0.91
622,07/01/2020,,0.7
623,07/01/2021,0.2,0.55
624,07/01/2022,0.1,1.06
625,07/02/2019,,0.26
626,07/02/2020,,0.55
627,07/02/2021,0.0,0.76
628,07/03/2019,,0.8
629,07/03/2023,1.53,0.12
630,07/05/2019,,-0.11
631,07/05/2022,-0.1,0.19
632,07/05/2023,4.34,-0.15
633,07/06/2020,,1.54
634,07/06/2021,-0.2,-0.18
635,07/06/2022,0.1,0.34
636,07/06/2023,-5.97,-0.78
637,07/07/2020,,-1.03
638,07/07/2021,0.2,0.35
639,07/07/2022,0.2,1.5
640,07/07/2023,-18.08,-0.25
641,07/08/2019,,-0.55
642,07/08/2020,,0.76
643,07/08/2021,-0.4,-0.81
644,07/08/2022,0.2,-0.08
645,07/09/2019,,0.12
646,07/09/2020,,-0.57
647,07/09/2021,0.0,1.07
648,07/10/2019,,0.48
649,07/10/2020,,1.02
650,07/10/2023,-18.54,0.25
651,07/11/2019,,0.23
652,07/11/2022,0.1,-1.14
653,07/11/2023,-13.69,0.64
654,07/12/2019,,0.45
655,07/12/2021,0.0,0.36
656,07/12/2022,-0.29,-0.88
657,07/12/2023,1.17,0.8
658,07/13/2020,,-0.87
659,07/13/2021,0.2,-0.34
660,07/13/2022,0.15,-0.53
661,07/13/2023,5.94,0.79
662,07/14/2020,,1.3
663,07/14/2021,-0.2,0.15
664,07/14/2022,0.1,-0.24
665,07/14/2023,-0.62,-0.06
666,07/15/2019,,0.03
667,07/15/2020,,0.92
668,07/15/2021,0.1,-0.34
669,07/15/2022,-0.34,1.91
670,07/16/2019,,-0.32
671,07/16/2020,,-0.33
672,07/16/2021,0.0,-0.78
673,07/17/2019,,-0.68
674,07/17/2020,,0.29
675,07/17/2023,2.04,0.35
676,07/18/2019,,0.37
677,07/18/2022,0.05,-0.83
678,07/18/2023,7.53,0.74
679,07/19/2019,,-0.56
680,07/19/2021,0.0,-1.48
681,07/19/2022,0.54,2.7
682,07/19/2023,2.0,0.22
683,07/20/2020,,0.81
684,07/20/2021,-0.1,1.43
685,07/20/2022,0.29,0.64
686,07/20/2023,-8.96,-0.66
687,07/21/2020,,0.21
688,07/21/2021,0.3,0.81
689,07/21/2022,-0.78,1.02
690,07/21/2023,1.85,0.0
691,07/22/2019,,0.25
692,07/22/2020,,0.57
693,07/22/2021,-0.1,0.21
694,07/22/2022,0.0,-0.93
695,07/23/2019,,0.72
696,07/23/2020,,-1.19
697,07/23/2021,0.1,1.03
698,07/24/2019,,0.47
699,07/24/2020,,-0.64
700,07/24/2023,1.51,0.45
701,07/25/2019,,-0.48
702,07/25/2022,0.0,0.12
703,07/25/2023,0.3,0.27
704,07/26/2019,,0.67
705,07/26/2021,-0.1,0.25
706,07/26/2022,0.2,-1.18
707,07/26/2023,10.09,0.02
708,07/27/2020,,0.73
709,07/27/2021,0.3,-0.46
710,07/27/2022,0.04,2.6
711,07/27/2023,1.35,-0.66
712,07/28/2020,,-0.63
713,07/28/2021,0.0,-0.04
714,07/28/2022,-0.04,1.25
715,07/28/2023,4.52,0.98
716,07/29/2019,,-0.18
717,07/29/2020,,1.23
718,07/29/2021,-0.1,0.41
719,07/29/2022,0.2,1.46
720,07/30/2019,,-0.25
721,07/30/2020,,-0.36
722,07/30/2021,-0.2,-0.49
723,07/31/2019,,-1.09
724,07/31/2020,,0.79
725,07/31/2023,1.27,0.19
726,08/01/2019,,-0.87
727,08/01/2022,-0.39,-0.3
728,08/01/2023,-2.26,-0.29
729,08/02/2019,,-0.75
730,08/02/2021,-0.2,-0.21
731,08/02/2022,0.0,-0.66
732,08/02/2023,-7.2,-1.39
733,08/03/2020,,0.7
734,08/03/2021,0.2,0.81
735,08/03/2022,0.0,1.57
736,08/03/2023,-9.42,-0.29
737,08/04/2020,,0.39
738,08/04/2021,0.0,-0.49
739,08/04/2022,0.0,-0.07
740,08/04/2023,0.61,-0.45
741,08/05/2019,,-3.01
742,08/05/2020,,0.62
743,08/05/2021,0.0,0.63
744,08/05/2022,0.3,-0.17
745,08/06/2019,,1.4
746,08/06/2020,,0.67
747,08/06/2021,0.0,0.17
748,08/07/2019,,0.06
749,08/07/2020,,0.07
750,08/07/2023,6.08,0.87
751,08/08/2019,,1.96
752,08/08/2022,-0.2,-0.12
753,08/08/2023,-4.3,-0.43
754,08/09/2019,,-0.68
755,08/09/2021,0.0,-0.08
756,08/09/2022,0.0,-0.4
757,08/09/2023,-2.1,-0.67
758,08/10/2020,,0.3
759,08/10/2021,-0.1,0.12
760,08/10/2022,0.64,2.1
761,08/10/2023,-0.61,0.04
762,08/11/2020,,-0.83
763,08/11/2021,0.0,0.25
764,08/11/2022,0.05,0.0
765,08/11/2023,3.08,-0.06
766,08/12/2019,,-1.22
767,08/12/2020,,1.39
768,08/12/2021,0.0,0.3
769,08/12/2022,-0.1,1.69
770,08/13/2019,,1.56
771,08/13/2020,,-0.18
772,08/13/2021,-0.1,0.18
773,08/14/2019,,-2.96
774,08/14/2020,,0.0
775,08/14/2023,-0.6,0.55
776,08/15/2019,,0.26
777,08/15/2022,-0.1,0.41
778,08/15/2023,-2.7,-1.16
779,08/16/2019,,1.48
780,08/16/2021,0.1,0.24
781,08/16/2022,-0.1,0.2
